	count	gene
0	14	BTN3A3
1	58	SLFN5
2	38	TMEM123
3	47	NCOA7
4	51	SAMD9
5	4	SMTNL1
6	67	RTP4
7	83	IFI44L
8	112	IFIT3
9	110	OAS1
10	102	IFI44
11	101	RSAD2
12	112	IFIT1
13	81	CMPK2
14	72	HERC5
15	38	SERPING1
16	35	GBP5
17	106	OAS2
18	87	XAF1
19	63	ZBP1
20	92	EPSTI1
21	37	ZCCHC2
22	19	GALM
23	50	SIGLEC1
24	49	BATF2
25	25	BTN3A1
26	66	IFIT5
27	98	OAS3
28	77	GBP1
29	107	IFIT2
30	136	STAT1
31	66	PARP14
32	69	SAMD9L
33	41	TRIM5
34	40	GBP4
35	43	RNF213
36	81	HERC6
37	107	DDX58
38	89	STAT2
39	55	GBP3
40	76	APOL6
41	107	IFIH1
42	79	DTX3L
43	92	USP18
44	89	DDX60
45	121	MX1
46	0	H4C8
47	3	H2BC8
48	94	OASL
49	74	PARP9
50	35	ETV7
51	98	EIF2AK2
52	33	PCGF5
53	0	SEPTIN4
54	1	H2BC9
55	0	H2BC17
56	61	TRIM22
57	12	FCGR3B
58	4	H2BC11
59	0	CARD17
60	88	IFI6
61	5	OTOF
62	17	DEFA3
63	3	H2BC5
64	1	H2BC7
65	4	H2BC4
66	32	TPPP3
67	64	IFI27
68	7	DEFA1
69	1	DEFA1B
70	26	CTSG
71	14	WLS
72	17	SAP30
73	20	TPST1
74	16	CAMP
75	67	LY6E
76	3	DEFA4
77	21	VNN1
78	21	PATL1
