	hsa05171	hsa04621	hsa04613	hsa04668	hsa04622	hsa04623	hsa04614	hsa04666	hsa04650	hsa04670	hsa04611	hsa04620	hsa04610	hsa03015	hsa04270	hsa04144	hsa04630
BTN3A3	3.832027004934981	4.207552959661903	0.0	0.0	1.878397772655814	1.878397772655814	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SLFN5	4.067437009863644	3.421419100463869	0.0	0.0	2.019822913198503	2.019822913198503	0.0	0.0	0.0	0	0	0	0	0	0	0	0
TMEM123	4.473923181606282	3.596559779496396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
NCOA7	4.469324941016612	2.954215606312675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SAMD9	3.7934653743784335	3.4693233164131896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SMTNL1	4.073924324525246	3.1318688900627603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
RTP4	4.073924324525246	3.1318688900627603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFI44L	4.073924324525246	3.1318688900627603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFIT3	4.073924324525246	3.1318688900627603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
OAS1	4.073924324525246	3.1318688900627603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFI44	4.073924324525246	3.1318688900627603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
RSAD2	4.073924324525246	3.1318688900627603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFIT1	4.073924324525246	3.1318688900627603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
CMPK2	4.073924324525246	3.1318688900627603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
HERC5	4.073924324525246	3.1318688900627603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SERPING1	3.6164720417561718	3.4833589235169895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
GBP5	3.271703519324516	3.738225654773167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
OAS2	3.9814409273905973	3.0230705630341226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
XAF1	3.9814409273905973	3.0230705630341226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ZBP1	3.9724629151196487	3.0116314318167503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
EPSTI1	3.9724629151196487	3.0116314318167503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ZCCHC2	3.9680912407957596	3.0060564225162283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
